,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs,total_wins,goal_diff
2,Los Angeles Kings,15,17,26,24,231,266,No,32,-35
3,Tampa Bay Lightning,11,20,30,21,223,267,No,31,-44
10,Vancouver Canucks,18,21,23,20,213,215,No,39,-2
11,Chicago Blackhawks,17,23,24,18,239,235,No,40,4
16,St Louis Blues,13,20,28,21,205,237,No,33,-32
18,Phoenix Coyotes,21,17,20,24,214,231,No,38,-17
19,New York Islanders,17,18,24,23,194,243,No,35,-49
20,Toronto Maple Leafs,18,18,23,23,231,260,No,36,-29
21,Florida Panthers,20,18,21,23,216,226,No,38,-10
22,Buffalo Sabres,19,20,22,21,255,242,No,39,13
26,Columbus Blue Jackets,14,20,27,21,193,218,No,34,-25
28,Edmonton Oilers,18,23,23,18,235,251,No,41,-16
30,Carolina Hurricanes,19,24,22,17,252,249,No,43,3
32,Atlanta Thrashers,15,19,26,22,216,272,No,34,-56
35,Los Angeles Kings,16,18,25,23,207,234,No,34,-27
36,Tampa Bay Lightning,12,12,29,29,210,279,No,24,-69
42,Nashville Predators,16,24,25,17,213,233,No,40,-20
45,Ottawa Senators,14,22,27,19,217,237,No,36,-20
47,Minnesota Wild,17,23,24,18,219,200,No,40,19
51,Phoenix Coyotes,13,23,28,18,208,252,No,36,-44
52,New York Islanders,9,17,32,24,201,279,No,26,-78
53,Toronto Maple Leafs,18,16,23,25,250,293,No,34,-43
54,Florida Panthers,19,22,22,19,234,231,No,41,3
55,Buffalo Sabres,18,23,23,18,250,234,No,41,16
57,Colorado Avalanche,14,18,27,23,199,257,No,32,-58
58,Dallas Stars,16,20,25,21,230,257,No,36,-27
61,Edmonton Oilers,20,18,21,23,234,248,No,38,-14
65,Atlanta Thrashers,17,18,24,23,257,280,No,35,-23
69,Tampa Bay Lightning,13,21,28,20,217,260,No,34,-43
71,New York Rangers,20,18,21,23,222,218,No,38,4
80,Minnesota Wild,13,25,28,16,219,246,No,38,-27
82,St Louis Blues,22,18,19,23,225,223,No,40,2
83,Anaheim Ducks,14,25,27,16,238,251,No,39,-13
85,New York Islanders,11,23,30,18,222,264,No,34,-42
86,Toronto Maple Leafs,12,18,29,23,214,267,No,30,-53
87,Florida Panthers,16,16,25,25,208,244,No,32,-36
89,Calgary Flames,20,20,21,21,204,210,No,40,-6
91,Dallas Stars,14,23,27,18,237,254,No,37,-17
92,Columbus Blue Jackets,12,20,29,21,216,259,No,32,-43
94,Edmonton Oilers,9,18,32,23,214,284,No,27,-70
96,Carolina Hurricanes,14,21,27,20,230,256,No,35,-26
98,Atlanta Thrashers,16,19,25,22,234,256,No,35,-22
99,New Jersey Devils,16,22,25,19,174,209,No,38,-35
111,Ottawa Senators,16,16,25,25,192,250,No,32,-58
113,Minnesota Wild,20,19,21,22,206,233,No,39,-27
115,St Louis Blues,15,23,26,18,240,234,No,38,6
118,New York Islanders,13,17,28,24,229,264,No,30,-35
119,Toronto Maple Leafs,19,18,22,23,218,251,No,37,-33
120,Florida Panthers,14,16,27,25,195,229,No,30,-34
122,Calgary Flames,18,23,23,18,250,237,No,41,13
123,Colorado Avalanche,14,16,27,25,227,288,No,30,-61
124,Dallas Stars,20,22,21,19,227,233,No,42,-6
125,Columbus Blue Jackets,17,17,24,24,215,258,No,34,-43
127,Edmonton Oilers,12,13,29,28,193,269,No,25,-76
129,Carolina Hurricanes,18,22,23,19,236,239,No,40,-3
131,Atlanta Thrashers,17,17,24,24,223,269,No,34,-46
135,Tampa Bay Lightning,13,25,28,16,235,281,No,38,-46
145,Montreal Canadiens,15,16,26,25,212,226,No,31,-14
